,Theta,T,u / c
486,0.10476243246987116,4.877702702702703,0.914983811905232
487,0.104548414843942,4.887687687687688,0.9151300427193382
488,0.10433526986219475,4.897672672672673,0.9152757624072678
489,0.10412299219825609,4.907657657657658,0.9154209736756161
490,0.1039115765690121,4.917642642642643,0.9155656792117339
491,0.10370101773417026,4.927627627627628,0.9157098816838993
492,0.1034913104958263,4.937612612612613,0.9158535837414875
493,0.10328244969803647,4.947597597597598,0.9159967880151376
494,0.10307443022639509,4.9575825825825826,0.9161394971169239
495,0.10286724700761697,4.967567567567568,0.9162817136405151
496,0.10266089500912506,4.977552552552552,0.9164234401613403
497,0.10245536923864286,4.987537537537538,0.916564679236749
498,0.10225066474379196,4.997522522522523,0.9167054334061709
499,0.10204677661169416,5.0075075075075075,0.9168457051912748
500,0.1018436999685784,5.017492492492493,0.916985497096123
501,0.10164142997939253,5.027477477477477,0.9171248116073256
502,0.10143996184741948,5.037462462462463,0.9172636511941962
503,0.10123929081389814,5.047447447447448,0.9174020183088992
504,0.10103941215764863,5.0574324324324325,0.9175399153866022
505,0.10084032119470206,5.067417417417418,0.9176773448456234
506,0.10064201327793468,5.077402402402402,0.917814309087577
507,0.10044448379670622,5.087387387387388,0.91795081049752
508,0.10024772817650264,5.097372372372373,0.9180868514440933
509,0.10005174187858298,5.107357357357357,0.9182224342796669
510,0.09985652039963029,5.117342342342343,0.9183575613404764
511,0.09966205927140682,5.127327327327327,0.918492234946766
512,0.09946835406041298,5.137312312312313,0.9186264574029226
513,0.09927540036755053,5.147297297297298,0.9187602309976144
514,0.0990831938277895,5.157282282282282,0.918893558003924
515,0.09889173010983901,5.167267267267268,0.919026440679483
516,0.098701004915822,5.177252252252252,0.9191588812666033
517,0.09851101398095348,5.1872372372372375,0.9192908819924079
518,0.09832175307322287,5.197222222222223,0.9194224450689589
519,0.09813321799307959,5.207207207207207,0.9195535726933887
520,0.09794540457312247,5.217192192192193,0.9196842670480222
521,0.09775830867779278,5.227177177177177,0.919814530300507
522,0.09757192620307056,5.2371621621621625,0.9199443646039324
523,0.09738625307617466,5.247147147147148,0.9200737720969566
524,0.09720128525526597,5.257132132132132,0.9202027549039249
